N,P,K,temperature,humidity,ph,rainfall,label
31,67,68,20.453331,16.556306,6.461396,76.764179,chickpea
25,62,84,18.578626,16.057018,6.908057,72.403468,chickpea
41,68,88,20.053615,14.0,7.19586,57.52724,chickpea
22,70,73,14.977421,14.170034,6.895876,72.885937,chickpea
29,61,79,20.226175,19.402734,7.512606,50.899995,chickpea
36,66,67,18.85424,14.0,7.06039,66.217423,chickpea
33,62,70,19.754219,15.084212,6.717494,77.103654,chickpea
43,85,86,19.260047,16.0007,7.060952,68.147154,chickpea
42,66,76,16.52589,21.359055,7.31293,64.0085,chickpea
47,79,71,15.50392,18.921509,7.362442,75.11477,chickpea
46,65,81,17.075892,15.607074,8.13919,75.798015,chickpea
49,69,75,19.629835,20.261284,6.865545,78.480318,chickpea
40,56,76,19.880183,15.14871,7.163261,74.994739,chickpea
42,63,84,15.764115,19.52275,7.413062,76.650998,chickpea
44,69,71,16.537801,14.0,7.188289,73.863268,chickpea
41,80,73,17.053529,19.683145,6.949691,70.124229,chickpea
37,69,80,17.78539,15.984666,6.425371,68.716072,chickpea
37,78,86,15.775898,14.428739,6.944583,66.101922,chickpea
33,72,88,15.655896,16.457141,6.663149,58.301054,chickpea
43,80,74,16.856329,17.69336,6.336697,60.357508,chickpea
39,67,86,18.672508,15.763129,6.802161,65.743884,chickpea
35,86,74,16.138811,18.384884,6.676454,69.931617,chickpea
35,63,92,18.268393,15.542515,7.491893,79.526501,chickpea
30,61,71,20.617106,18.550931,7.500546,67.665622,chickpea
48,57,88,15.896441,18.105555,6.74806,76.02781,chickpea
41,86,74,18.087108,16.847692,7.069886,76.634525,chickpea
33,74,93,20.549513,15.896544,6.270879,66.148426,chickpea
46,64,83,17.663463,17.378852,6.95283,72.757522,chickpea
20,76,20,18.021341,23.926951,6.026602,59.519525,kidneybeans
26,87,16,17.376876,23.987578,6.347609,56.367507,kidneybeans
24,57,17,18.169016,17.433057,6.036661,48.775009,kidneybeans
16,80,17,18.95167,21.306821,7.019416,69.803299,kidneybeans
22,69,22,19.974374,17.145318,6.614894,52.186565,kidneybeans
28,74,19,14.56228,29.338954,5.746236,61.206018,kidneybeans
20,55,19,17.252358,17.215374,5.740986,35.651086,kidneybeans
23,80,22,18.738644,18.856479,6.134848,65.211767,kidneybeans
23,74,19,18.351705,18.878197,5.48099,66.75011,kidneybeans
17,68,19,19.105064,17.510019,6.483144,55.23867,kidneybeans
23,73,22,18.90131,26.057782,6.0808,59.470168,kidneybeans
15,62,23,18.042698,29.267344,6.028229,59.468121,kidneybeans
18,63,19,17.70972,20.572753,6.243477,49.857731,kidneybeans
25,64,20,18.131748,18.038731,6.761415,59.376978,kidneybeans
22,53,17,20.223114,15.289224,5.985478,48.530956,kidneybeans
20,75,17,17.401988,21.267674,5.84348,50.129945,kidneybeans
23,78,23,18.40579,21.050904,6.65436,64.015545,kidneybeans
21,62,22,18.775013,20.046112,6.383775,62.797262,kidneybeans
21,71,22,20.840526,22.664126,5.73951,49.348996,kidneybeans
24,66,21,18.049538,23.185519,5.902593,49.131389,kidneybeans
18,71,20,19.93821,22.96925,5.99769,49.835227,kidneybeans
21,63,23,20.347969,21.051625,6.080906,60.861117,kidneybeans
20,61,24,18.404369,18.695135,5.2217,47.000122,kidneybeans
15,76,24,18.183922,23.997499,5.128758,57.853701,kidneybeans
17,67,20,18.006419,22.037541,5.456305,60.974774,kidneybeans
27,84,26,18.116265,24.665073,5.417631,54.294036,kidneybeans
23,68,21,19.78136,24.370227,5.578088,63.08051,kidneybeans
16,61,23,18.846515,17.734714,6.217355,52.565519,kidneybeans
15,78,21,18.852935,17.697333,5.815535,53.289155,kidneybeans
21,73,21,16.812165,19.733378,5.998197,47.18203,kidneybeans
27,74,17,17.048765,18.831204,5.287848,63.137419,kidneybeans
20,78,23,21.71517,24.265755,5.669179,48.867836,kidneybeans
26,63,31,18.233261,23.053929,6.193629,57.798175,kidneybeans
22,67,19,17.337842,25.297552,6.197476,54.429471,kidneybeans
23,67,20,20.646649,23.18946,5.537713,46.577735,kidneybeans
16,58,18,18.922713,22.625949,5.980831,50.127175,kidneybeans
25,66,18,19.367232,25.599189,6.999424,66.062978,kidneybeans
20,79,26,18.292929,23.409182,5.891201,56.61326,kidneybeans
24,70,17,18.02199,22.204303,5.553407,46.926797,kidneybeans
18,57,18,18.24562,26.441359,5.813119,57.442626,kidneybeans
22,56,14,16.425893,22.345543,5.946089,53.831088,kidneybeans
22,81,17,18.368109,21.086978,5.824416,82.632371,kidneybeans
20,67,13,18.94405,19.48653,5.884323,57.280991,kidneybeans
23,63,23,21.275695,24.109076,5.178277,51.955001,kidneybeans
20,66,31,18.628999,25.711152,5.418685,66.360223,kidneybeans
18,56,19,14.998734,21.848238,5.825332,40.271711,kidneybeans
27,79,13,18.359022,25.923747,5.817366,55.754561,kidneybeans
25,65,24,22.609256,16.089955,5.616905,70.955428,kidneybeans
18,79,17,19.799549,21.83364,5.811493,54.070406,kidneybeans
23,68,25,17.283667,21.879715,5.930507,41.133592,kidneybeans
18,79,19,19.38666,19.819017,6.344707,51.832656,kidneybeans
16,70,17,17.38698,29.151583,5.850394,66.636144,kidneybeans
25,75,19,16.469289,21.801422,6.099552,58.008557,kidneybeans
14,74,23,17.977446,20.776808,5.6292,48.289151,kidneybeans
25,73,19,18.63729,22.077886,6.186048,49.518058,kidneybeans
20,71,18,15.691767,15.991559,6.087865,50.522398,kidneybeans
20,66,19,16.776261,19.720396,6.332909,57.889583,kidneybeans
23,83,15,18.515503,24.94972,6.25673,65.705569,kidneybeans
23,61,22,17.88774,20.113164,6.194368,63.419384,kidneybeans
18,68,13,19.092217,19.513375,5.850791,58.648097,kidneybeans
24,68,18,16.677998,25.928577,6.02247,44.346842,kidneybeans
21,71,23,19.571171,26.020763,6.431754,44.37654,kidneybeans
16,65,21,16.724361,23.550971,5.573963,59.266016,kidneybeans
20,71,22,20.964101,20.634648,5.585796,44.236231,kidneybeans
27,67,20,15.926363,21.281587,5.990716,53.195464,kidneybeans
28,55,25,16.861169,19.58755,6.10764,57.433204,kidneybeans
24,68,24,19.126056,19.015681,5.487947,45.899248,kidneybeans
16,59,22,20.99635,18.866751,5.862619,46.805901,kidneybeans
23,54,24,18.972565,20.145837,5.853001,54.247031,kidneybeans
24,69,23,19.344287,18.895837,4.79236,59.029202,kidneybeans
24,72,18,18.526305,17.308885,5.790203,63.49215,kidneybeans
24,72,15,16.960402,22.658208,5.821341,59.856427,kidneybeans
22,73,22,17.764792,22.703787,5.819854,55.589253,kidneybeans
21,53,22,16.682135,27.102378,6.607957,49.030442,kidneybeans
19,57,24,16.581935,19.994985,5.292101,46.432744,kidneybeans
13,84,16,19.102623,22.888302,5.487689,50.912983,kidneybeans
22,60,16,16.815233,22.938138,4.593902,58.279485,kidneybeans
22,73,22,18.979331,21.238487,5.659542,57.69299,kidneybeans
23,63,20,16.547266,24.233001,5.702178,38.200784,kidneybeans
16,69,12,18.944575,24.325688,5.645011,48.714584,kidneybeans
24,63,22,17.766976,22.982233,6.453839,64.63606,kidneybeans
29,72,13,20.609923,21.233081,6.330309,55.63372,kidneybeans
21,69,16,18.985578,20.92741,5.938928,43.663929,kidneybeans
21,64,25,20.353674,17.896738,5.714693,73.846569,kidneybeans
22,60,27,17.36653,19.582247,6.413095,54.768466,kidneybeans
29,70,15,18.584215,20.133977,5.890121,58.074672,kidneybeans
17,58,19,17.028369,18.628085,5.490865,58.196198,kidneybeans
22,71,20,17.879592,23.319772,5.041876,52.059236,kidneybeans
18,89,27,18.106844,25.589884,5.679343,49.179411,kidneybeans
19,79,18,17.411213,19.275813,6.277322,71.9734,kidneybeans
21,74,18,16.676746,22.850324,7.038269,63.025647,kidneybeans
26,67,26,16.379724,18.897667,5.930805,61.575498,kidneybeans
28,52,19,14.990378,21.085233,5.517322,59.610314,kidneybeans
23,57,23,16.91548,19.929011,5.307517,46.973461,kidneybeans
19,78,14,19.441241,23.805687,6.175977,65.220242,kidneybeans
31,62,19,16.102252,19.963635,5.017692,48.254939,kidneybeans
19,62,13,16.447816,25.034981,6.175173,57.266294,kidneybeans
19,67,16,21.186348,21.262838,6.308856,41.884881,kidneybeans
14,60,23,17.545256,20.051189,6.11814,38.673129,kidneybeans
27,58,20,18.981569,18.240084,5.790169,57.54633,kidneybeans
18,64,20,25.023887,52.713025,6.196424,59.202103,pigeonpeas
13,77,18,30.171219,49.220694,5.555074,63.341411,pigeonpeas
23,62,17,25.384666,48.729624,4.893706,58.885328,pigeonpeas
29,63,26,29.593887,51.786983,5.934179,66.791971,pigeonpeas
27,68,20,26.597918,48.421636,6.162662,55.304518,pigeonpeas
20,68,25,31.203143,49.948202,6.087674,48.372838,pigeonpeas
21,70,18,29.499101,43.710619,6.011093,74.815803,pigeonpeas
25,85,21,25.983904,55.485286,5.625707,54.16293,pigeonpeas
25,71,20,26.165835,43.299076,5.396627,54.452463,pigeonpeas
20,49,13,29.21105,46.839441,6.075864,58.473573,pigeonpeas
21,71,26,27.475244,49.487966,6.013224,59.537449,pigeonpeas
22,68,19,27.661315,58.954934,5.51955,55.906531,pigeonpeas
23,68,23,30.544478,46.886585,6.354712,58.860529,pigeonpeas
20,70,17,26.502622,45.669921,5.358567,58.681902,pigeonpeas
21,68,19,28.182588,46.245915,5.508238,60.398555,pigeonpeas
27,68,17,29.909256,57.294486,6.618213,40.1401,pigeonpeas
26,73,25,29.618235,34.938265,6.234291,74.04701,pigeonpeas
23,64,21,27.680775,43.98631,5.620995,57.821693,pigeonpeas
28,60,21,27.422188,62.656444,5.94369,63.644981,pigeonpeas
19,92,25,24.522369,51.95441,5.877396,47.975189,pigeonpeas
27,62,25,25.88751,43.470075,4.427193,55.231998,pigeonpeas
23,69,23,28.636718,48.79041,5.346763,53.621473,pigeonpeas
34,56,14,27.724236,49.337273,5.774577,70.75779,pigeonpeas
16,69,17,28.149854,53.230626,5.621694,54.313491,pigeonpeas
18,61,16,30.078507,58.19751,5.923551,65.06464,pigeonpeas
23,64,23,25.625354,50.942758,6.364741,53.796636,pigeonpeas
23,76,21,27.527639,46.301058,5.639232,55.379048,pigeonpeas
29,72,14,28.377422,52.935422,5.271173,57.035599,pigeonpeas
18,73,19,26.59168,45.508737,5.962426,69.270761,pigeonpeas
25,54,14,30.862954,43.833313,5.636688,43.881179,pigeonpeas
26,83,20,29.817174,40.200456,5.721968,48.474692,pigeonpeas
24,58,13,28.580267,41.174358,5.654113,43.421559,pigeonpeas
17,80,22,31.588464,44.517774,6.920919,50.299983,pigeonpeas
27,76,22,25.002209,43.111051,4.679648,52.5072,pigeonpeas
26,73,28,27.984547,50.566183,5.605833,46.08415,pigeonpeas
23,61,23,28.732674,43.002991,5.798155,53.126818,pigeonpeas
22,69,18,26.17089,33.281668,5.409429,42.882284,pigeonpeas
22,64,23,28.601429,43.780441,6.249913,50.85609,pigeonpeas
21,68,14,25.786835,46.640702,6.206629,68.603363,pigeonpeas
24,66,16,29.381115,45.972753,5.776123,62.228705,pigeonpeas
21,52,21,30.11567,56.597623,5.664663,60.499741,pigeonpeas
18,77,11,28.544667,45.932287,5.744022,50.977772,pigeonpeas
17,67,20,24.294404,53.404617,5.747607,46.71132,pigeonpeas
18,64,16,26.066413,48.905087,5.760813,49.886751,pigeonpeas
22,64,20,29.12942,48.788476,5.706,58.654321,pigeonpeas
21,71,16,28.042397,44.823099,5.926225,65.945414,pigeonpeas
22,61,22,22.611995,48.706087,6.176606,66.218939,pigeonpeas
23,50,20,30.485661,45.174519,5.18487,64.044899,pigeonpeas
18,71,26,28.273313,49.850122,5.274668,53.099545,pigeonpeas
27,72,20,26.361851,47.818752,4.925741,59.196399,pigeonpeas
20,66,17,29.989911,44.27686,6.233199,56.42926,pigeonpeas
19,59,19,26.64492,53.959472,5.925162,57.390482,pigeonpeas
23,69,15,26.623096,51.134202,6.052634,75.297023,pigeonpeas
14,56,22,28.716705,46.759686,5.085251,44.903998,pigeonpeas
18,60,22,31.562077,49.727465,6.692474,57.122585,pigeonpeas
25,62,30,31.247174,48.580887,5.495575,68.693991,pigeonpeas
14,75,18,28.719423,44.662045,5.884103,47.272868,pigeonpeas
25,65,19,28.924771,49.352481,6.227192,53.850021,pigeonpeas
27,64,18,29.582998,45.894941,5.30651,54.767692,pigeonpeas
20,84,21,25.486033,44.275331,5.526838,57.213682,pigeonpeas
22,71,22,29.288297,40.886163,5.889586,46.232343,pigeonpeas
25,71,20,26.531853,47.206963,7.228737,63.762288,pigeonpeas
19,65,24,28.636956,51.834853,5.950562,64.330298,pigeonpeas
24,63,18,27.545065,45.526703,6.603181,63.067003,pigeonpeas
18,51,24,29.002417,61.603543,6.402837,52.037011,pigeonpeas
19,76,22,28.236207,53.428428,5.984005,59.692086,pigeonpeas
18,72,20,21.853939,55.521651,5.305402,51.804478,pigeonpeas
22,67,19,28.357783,52.976215,6.329877,56.339227,pigeonpeas
26,67,30,29.284306,58.264325,5.050945,76.227743,pigeonpeas
20,74,17,28.891857,45.06499,6.600438,59.765563,pigeonpeas
16,56,21,27.794828,36.196313,5.900003,49.499787,pigeonpeas
17,63,17,31.284323,46.769372,4.474888,60.442683,pigeonpeas
23,59,27,28.622746,51.791093,5.629747,48.185633,pigeonpeas
28,82,24,28.875347,49.757585,6.126974,49.407917,pigeonpeas
23,75,17,30.088984,50.377363,5.681488,50.671015,pigeonpeas
19,50,22,28.725186,55.60455,6.157503,55.445524,pigeonpeas
24,56,21,26.203964,50.910288,5.374988,66.495752,pigeonpeas
20,67,18,23.123325,52.994565,5.147009,63.627186,pigeonpeas
19,64,23,27.045758,44.302186,5.764277,63.183963,pigeonpeas
17,57,22,29.521891,43.523032,5.815783,50.208603,pigeonpeas
27,84,21,27.293807,57.07057,5.625808,54.669485,pigeonpeas
11,71,20,29.602357,49.504508,6.413646,61.176009,pigeonpeas
24,72,22,28.297456,45.883854,5.374896,53.97344,pigeonpeas
19,62,21,30.576132,45.893028,5.956583,56.773068,pigeonpeas
19,74,20,27.409567,45.754384,5.833985,62.53087,pigeonpeas
28,65,17,28.93523,45.455205,5.021642,56.209819,pigeonpeas
18,66,27,29.01177,42.584261,5.140485,60.808477,pigeonpeas
18,73,16,31.003204,41.497898,5.805956,71.741828,pigeonpeas
20,55,22,24.586725,48.024978,6.7906,57.62513,pigeonpeas
23,81,19,27.083183,46.035371,6.089635,68.434702,pigeonpeas
19,69,27,29.697032,54.535796,4.937183,63.474961,pigeonpeas
15,78,16,31.091793,50.465383,4.244756,47.262064,pigeonpeas
18,59,17,28.480143,50.326588,6.166527,50.182904,pigeonpeas
26,61,16,27.414592,45.284398,5.751893,52.331233,pigeonpeas
21,59,21,29.514237,48.394858,6.370633,52.161321,pigeonpeas
23,70,15,29.737405,50.805006,5.359641,58.277682,pigeonpeas
20,69,18,27.280677,52.580979,5.975106,63.917152,pigeonpeas
18,64,11,28.660615,48.530541,6.223087,69.041267,pigeonpeas
28,60,21,30.361055,54.395619,5.576268,61.465401,pigeonpeas
20,58,18,31.780918,49.039947,5.586957,55.434564,pigeonpeas
13,46,16,29.504692,49.168057,4.750324,44.069757,mothbeans
21,46,26,28.043334,48.952413,5.585195,26.746368,mothbeans
21,42,24,27.128534,57.941422,3.94126,38.0934,mothbeans
22,51,19,26.623603,58.957754,5.003965,41.575304,mothbeans
29,50,20,25.697644,60.560718,5.189017,49.741662,mothbeans
26,35,17,28.530099,62.019652,5.924601,39.546173,mothbeans
24,35,24,26.060669,53.673097,3.731796,43.86548,mothbeans
17,51,18,26.998949,51.444004,5.024602,36.746693,mothbeans
19,41,19,28.212196,59.754955,4.131812,50.711139,mothbeans
21,50,22,26.328165,56.565346,5.404397,53.257146,mothbeans
18,54,19,29.759504,48.087724,5.621773,53.023653,mothbeans
23,38,19,30.480446,47.831822,6.029736,49.123611,mothbeans
22,37,20,27.901146,55.459651,4.571976,33.58927,mothbeans
17,61,23,28.125945,52.113627,5.741781,42.800463,mothbeans
26,51,27,30.07486,52.86785,6.088721,44.926933,mothbeans
21,45,22,27.57201,58.362667,3.685402,44.967047,mothbeans
14,41,23,27.434532,56.795186,5.489876,49.749812,mothbeans
21,44,19,31.392997,59.649366,5.766809,63.255414,mothbeans
22,38,17,30.768375,43.342319,4.793019,57.120962,mothbeans
25,55,23,30.2031,54.26699,4.031381,39.124822,mothbeans
20,42,21,30.851289,56.473443,5.754365,55.784029,mothbeans
24,57,14,25.045443,45.367071,4.040393,55.403024,mothbeans
22,45,19,31.707671,49.725522,4.857319,40.939325,mothbeans
16,40,20,29.784124,48.797574,4.967901,57.488659,mothbeans
15,45,18,31.021563,53.108491,5.57243,47.396234,mothbeans
25,27,26,29.774324,61.13927,4.498695,34.900465,mothbeans
26,47,22,29.09785,63.112947,4.452333,53.552027,mothbeans
22,47,25,28.449382,48.928562,5.079132,51.169618,mothbeans
27,55,21,29.734289,55.632786,5.805112,46.723224,mothbeans
25,33,20,28.376504,55.793989,6.82996,48.625469,mothbeans
24,57,16,30.735752,54.938129,3.794015,41.809145,mothbeans
17,55,20,25.827087,54.994898,5.252274,55.101305,mothbeans
28,58,20,27.916848,54.518713,4.130772,48.565494,mothbeans
23,48,15,33.089646,61.437851,5.815049,50.664488,mothbeans
19,56,18,27.747839,58.512333,4.249164,52.571419,mothbeans
18,36,19,28.522633,47.699231,4.460281,37.454144,mothbeans
22,54,22,27.234838,56.978605,4.528583,40.05717,mothbeans
14,42,22,29.671691,57.461867,4.939041,26.900555,mothbeans
24,35,18,27.52747,54.574836,5.258558,54.647423,mothbeans
17,39,22,28.628778,58.657122,5.386961,36.8779,mothbeans
22,48,19,30.697733,53.94037,4.995386,50.325697,mothbeans
19,41,9,27.602473,54.002339,3.936087,52.709882,mothbeans
20,51,18,30.577222,53.606203,5.582229,55.023528,mothbeans
18,34,24,30.644459,42.90878,4.957633,36.959831,mothbeans
20,31,13,31.109912,52.598008,5.929388,48.348384,mothbeans
29,59,20,29.281082,49.658747,4.433809,65.702804,mothbeans
27,55,26,35.482518,47.06776,3.71818,66.143147,mothbeans
22,40,17,31.109067,60.170091,4.972779,58.873231,mothbeans
21,48,20,29.649755,55.521038,6.036762,52.374931,mothbeans
24,56,15,27.248151,52.850845,5.128754,38.948936,mothbeans
26,51,27,28.805882,50.175983,4.840264,56.186216,mothbeans
18,49,20,31.852654,54.480848,4.303722,47.419788,mothbeans
21,57,20,32.419069,57.95718,6.406213,54.605283,mothbeans
14,42,25,31.956658,48.865171,4.176318,42.671565,mothbeans
25,48,23,30.570385,52.975858,4.419685,47.270669,mothbeans
29,48,16,26.48868,57.340332,5.456027,50.641474,mothbeans
21,46,17,29.974324,43.319994,3.515183,51.462781,mothbeans
12,45,22,26.517195,52.712151,6.019673,53.937227,mothbeans
23,49,18,26.025058,50.853543,5.499354,43.20805,mothbeans
17,48,12,29.478317,52.330851,5.719385,35.567155,mothbeans
18,40,20,30.046399,50.491857,5.446494,65.24785,mothbeans
24,54,14,30.806754,53.688123,4.871101,73.892542,mothbeans
22,40,26,29.994272,62.618136,4.149481,53.474207,mothbeans
19,46,21,30.063172,51.380388,4.88794,35.760079,mothbeans
18,46,16,27.030695,54.458555,4.219811,41.268049,mothbeans
22,51,17,28.790047,62.973732,5.388924,54.091176,mothbeans
19,31,12,25.985766,50.249922,5.645424,62.411156,mothbeans
17,55,16,24.993262,62.073377,6.181447,36.871094,mothbeans
20,43,24,30.481285,53.026615,5.297414,47.756672,mothbeans
22,58,29,27.493751,61.909481,5.73966,50.959321,mothbeans
20,44,23,30.744997,56.751006,4.762284,57.645785,mothbeans
15,48,20,31.216695,54.535542,4.617378,45.563989,mothbeans
25,63,18,27.761365,52.671847,5.378938,33.361853,mothbeans
10,46,16,30.180622,49.879793,4.690822,55.211976,mothbeans
19,58,28,27.677687,53.378958,5.215349,60.24796,mothbeans
19,48,19,25.308242,57.486807,4.151046,48.174085,mothbeans
22,51,28,29.246619,52.934443,4.294698,53.052401,mothbeans
23,49,26,28.058252,51.416886,5.508327,44.255088,mothbeans
26,55,13,28.119822,51.746087,5.709352,40.542272,mothbeans
18,43,17,32.950686,57.962383,4.211475,59.264257,mothbeans
23,40,17,25.948286,59.125807,5.536491,52.874958,mothbeans
22,43,20,29.765742,49.664247,4.573811,53.903686,mothbeans
14,49,20,27.010386,49.657061,5.013204,64.021151,mothbeans
29,46,32,30.816523,54.896795,6.133556,38.451577,mothbeans
15,54,16,29.596862,60.63766,5.64599,43.479737,mothbeans
23,58,21,29.758689,58.729952,5.636698,50.579333,mothbeans
23,40,22,27.110221,46.740739,6.527032,43.356868,mothbeans
22,42,20,27.468824,51.67962,4.436897,56.831365,mothbeans
19,37,20,30.854501,48.346982,4.2113,47.126008,mothbeans
24,64,16,32.541595,51.662437,4.422302,39.074672,mothbeans
15,50,20,29.960616,61.02205,4.796399,49.657717,mothbeans
21,52,22,27.205159,45.886997,3.5,50.703388,mothbeans
19,37,21,29.677877,44.905674,4.834057,58.346821,mothbeans
18,48,22,33.854944,48.857229,4.564343,52.931409,mothbeans
23,52,26,29.204846,54.436553,5.627008,53.611464,mothbeans
25,46,24,31.923682,56.103774,5.281936,52.202917,mothbeans
20,57,20,27.519341,55.187242,4.519443,47.117775,mothbeans
24,66,15,28.915828,58.878427,5.471969,41.837809,mothbeans
21,40,18,30.23913,44.184572,5.57861,51.888384,mothbeans
17,40,19,29.794657,58.941683,4.385163,45.668752,mothbeans
28,45,17,28.577097,85.450233,6.702621,58.923533,mungbean
26,56,13,28.008163,84.893314,6.587447,40.349074,mungbean
24,52,22,28.256798,86.728087,6.632019,48.161334,mungbean
23,47,23,28.703139,86.213466,7.322694,45.454715,mungbean
21,39,18,31.07715,79.028355,6.892223,46.49596,mungbean
16,49,17,28.140429,86.090484,6.852384,33.954739,mungbean
20,55,15,28.578918,82.993041,6.721326,58.286103,mungbean
21,50,18,27.201934,82.156543,7.533794,40.805185,mungbean
22,48,17,29.574947,84.623053,7.191503,55.208576,mungbean
23,41,15,30.550019,85.821942,6.583681,42.028987,mungbean
25,54,27,30.936747,81.718531,6.717915,41.995963,mungbean
18,22,21,28.805047,86.409153,6.735727,56.704986,mungbean
18,50,21,29.361531,86.526678,6.843762,54.951077,mungbean
27,68,23,28.269675,85.093952,6.589632,48.669327,mungbean
24,35,22,29.292028,83.264753,6.931645,53.089204,mungbean
19,45,17,28.970948,83.041244,7.235626,44.691578,mungbean
21,47,20,28.587397,87.051864,6.405912,46.933059,mungbean
21,43,18,28.706631,81.977555,6.461556,41.707005,mungbean
21,55,21,29.177883,87.128941,6.655052,54.23252,mungbean
23,51,20,28.058771,84.669602,6.668961,41.452693,mungbean
31,48,17,28.136255,84.808331,7.39954,58.881251,mungbean
22,53,14,31.061043,81.583825,7.100513,44.473327,mungbean
24,47,20,32.56582,84.706567,7.083297,47.164069,mungbean
14,72,18,26.69345,86.227171,6.72069,53.069824,mungbean
19,48,11,26.610793,82.32718,6.714106,47.190915,mungbean
26,49,21,27.064271,85.997272,6.364488,44.616733,mungbean
23,33,23,28.345067,85.178025,7.034522,46.759812,mungbean
3,43,29,29.843671,83.712489,6.947316,54.150547,mungbean
24,56,17,29.386879,86.709346,7.185799,41.697182,mungbean
29,36,17,28.758047,80.595486,6.736751,45.990104,mungbean
13,30,15,29.293403,85.693361,6.757466,47.082294,mungbean
27,47,20,27.461871,88.23887,6.851014,53.916682,mungbean
10,58,20,28.133816,87.879886,7.067569,46.201237,mungbean
25,47,16,28.469858,85.779613,6.358935,61.466393,mungbean
21,44,18,26.123675,84.396638,7.020817,45.747691,mungbean
12,32,11,26.758035,83.728395,6.793851,45.098531,mungbean
23,51,23,26.817651,84.394148,6.482409,45.631743,mungbean
26,52,16,29.646162,86.087614,6.174618,36.466869,mungbean
22,33,19,28.868032,83.385512,6.759058,38.706185,mungbean
23,56,13,29.416592,86.514848,7.234314,42.754665,mungbean
19,53,17,25.740518,89.266321,7.302405,56.086639,mungbean
14,56,18,26.27465,84.876234,6.906613,46.734992,mungbean
24,52,19,29.494823,82.31121,7.388602,43.122846,mungbean
28,52,21,24.331996,82.310511,6.787118,56.812278,mungbean
26,51,25,30.336944,86.553131,7.085991,59.409417,mungbean
13,54,22,25.765024,84.880508,6.664631,57.04306,mungbean
15,32,23,29.765017,86.753662,6.64562,40.17528,mungbean
18,35,25,27.167123,83.932732,6.596747,43.038011,mungbean
15,41,21,30.073356,86.661247,6.181841,61.509889,mungbean
21,46,19,33.312241,84.683402,7.186128,48.929118,mungbean
23,50,23,25.090234,83.534992,6.60751,44.858983,mungbean
15,50,23,29.543066,84.198003,6.559568,52.746784,mungbean
24,56,22,25.787756,82.605891,6.446008,55.058393,mungbean
23,56,13,29.140153,88.978719,6.738692,42.428403,mungbean
19,40,16,28.189842,84.807236,7.329048,48.75552,mungbean
20,49,18,28.694673,86.289028,7.428134,54.412481,mungbean
13,40,22,27.132471,83.926262,6.30174,37.717703,mungbean
20,45,19,29.670812,82.896144,6.693666,47.098764,mungbean
21,50,24,26.327463,84.532239,6.489693,38.084883,mungbean
22,20,24,30.362456,87.202385,7.096501,39.131356,mungbean
23,66,24,27.886125,83.958536,6.885978,42.495199,mungbean
22,52,24,26.395964,83.258936,6.609029,50.816956,mungbean
20,42,15,30.892405,85.310928,6.821772,44.423819,mungbean
22,62,21,28.398986,85.998045,6.656774,41.812655,mungbean
25,44,17,31.361454,88.285696,7.284274,47.412437,mungbean
21,48,12,30.332034,85.707501,6.964088,37.824298,mungbean
22,43,18,27.302781,86.287985,7.000947,50.430426,mungbean
20,60,24,28.372515,86.43855,5.999925,56.051094,mungbean
18,46,21,28.681557,82.693969,6.779963,46.366368,mungbean
23,48,27,30.789455,83.073336,7.424963,45.378808,mungbean
19,57,20,29.156277,82.832207,7.197839,49.987523,mungbean
23,52,29,28.764439,82.335708,6.245873,30.772245,mungbean
21,47,20,28.200181,86.59092,6.705972,51.29454,mungbean
20,56,19,28.424164,85.5801,6.439544,71.815086,mungbean
20,67,14,30.456888,85.158992,7.31333,46.01859,mungbean
19,50,23,28.505558,79.814567,6.873283,46.047,mungbean
14,48,17,27.907504,89.110954,6.569661,52.948856,mungbean
23,48,16,27.653239,83.211456,6.810247,60.162661,mungbean
22,57,24,27.669352,89.103626,6.01779,54.799743,mungbean
24,42,24,26.396856,82.101517,6.474512,29.755145,mungbean
19,45,24,27.374437,83.375198,6.810933,51.507191,mungbean
29,35,18,30.74763,80.594301,7.053703,67.575441,mungbean
19,38,19,28.190101,85.72425,6.217606,51.979528,mungbean
17,43,19,29.556618,82.797486,6.685653,37.763185,mungbean
17,47,22,24.781865,82.854,7.102906,49.254637,mungbean
14,61,25,29.352467,82.254972,6.364564,36.754502,mungbean
27,51,20,28.257971,86.55471,6.868755,56.86243,mungbean
26,40,27,27.77784,86.422927,6.819792,39.352939,mungbean
23,41,23,28.77144,88.624068,7.314314,47.593949,mungbean
17,58,18,27.756262,83.628587,6.730959,40.13776,mungbean
28,56,22,25.314188,85.437639,6.74852,42.628416,mungbean
20,47,26,29.883372,82.42133,7.056488,58.889205,mungbean
20,43,27,28.864526,84.329922,6.402095,47.827657,mungbean
27,56,24,28.029086,83.962309,6.733735,42.52638,mungbean
24,39,19,27.050722,85.9289,6.663282,37.838176,mungbean
30,50,18,26.295214,87.034044,6.758326,32.026388,mungbean
22,65,21,28.835839,86.982133,7.054522,36.989755,mungbean
19,49,26,30.920161,83.314375,6.966248,47.895674,mungbean
19,41,21,28.80475,86.996936,6.575395,54.84187,mungbean
14,50,21,26.425858,84.91183,6.84101,42.517188,mungbean
45,76,24,30.325027,63.573462,6.609117,64.465766,blackgram
33,59,25,28.541483,76.175115,7.220213,83.858701,blackgram
36,67,30,29.962566,60.874702,6.750728,67.135053,blackgram
